#,Product ID,Medicine Name,Pack Size,Category,Company,Price (Rs.),Stock Status,Notes
1,001204,ACER 50MG CAP,30`S,Capsules,SHROOQ PHARMA,480,In Stock,
2,001166,AEROMAX 10MG TAB,14`S,Tablets,SHROOQ PHARMA,120,In Stock,
3,001057,AEROMEX 5MG TAB,10`S,Tablets,SHROOQ PHARMA,60,In Stock,
4,001059,AIR-VENT SACHET 4MG,14S,Sachets & Powders,SHROOQ PHARMA,230,In Stock,
5,001099,AIRVENT TAB,14S,Tablets,SHROOQ PHARMA,200,In Stock,
6,001094,ALBICOST 10MG CREAM,1`S,Topicals / Creams & Gels,SHROOQ PHARMA,260,In Stock,
7,001164,ALBICOST 15MG CREAM,1`S,Topicals / Creams & Gels,SHROOQ PHARMA,200,In Stock,
8,001230,ALBICOST 25GM CREAM,25GM,Topicals / Creams & Gels,SHROOQ PHARMA,590,In Stock,
9,001093,ALBIMIN CREAM,20GM,Topicals / Creams & Gels,SHROOQ PHARMA,180,In Stock,
10,001207,ARGAN HAIR GROWTH SERUM,50ML,Topicals / Creams & Gels,SHROOQ PHARMA,550,In Stock,
11,001156,ARO SHINE SHAMPOO,1`S,Shampoos,SHROOQ PHARMA,490,In Stock,
12,001128,ARO SHINE SOAP,1`S,Topicals / Creams & Gels,SHROOQ PHARMA,170,In Stock,
13,001078,AV 5/80MG TAB,14S,Tablets,SHROOQ PHARMA,420,In Stock,
14,001147,AVIFIX SYP,120ML,Syrups,SHROOQ PHARMA,370,In Stock,
15,001145,AVIFIX TAB,10S,Tablets,SHROOQ PHARMA,70,In Stock,
16,001110,BALAX INJ 10AMP,10S,Injections,SHROOQ PHARMA,180,In Stock,
17,001235,BALAX INJ 5AMP,5S,Injections,SHROOQ PHARMA,260,In Stock,
18,001138,BESTEC 10MG TAB,10`S,Tablets,SHROOQ PHARMA,180,In Stock,
19,001215,BIO SHINE SHAMPOO,150ML,Shampoos,SHROOQ PHARMA,290,In Stock,
20,001188,BONBAC 3MG,1S,Other / General,SHROOQ PHARMA,400,In Stock,
21,001202,BONPAC 150MG TAB,1`S,Tablets,SHROOQ PHARMA,430,In Stock,
22,001169,BONPACK INJ,1S,Injections,SHROOQ PHARMA,180,In Stock,
23,001186,BORGER 120ML SYP,120ML,Syrups,SHROOQ PHARMA,450,In Stock,
24,001181,BROLYX SYP,120ML,Syrups,SHROOQ PHARMA,220,In Stock,
25,001040,CALFAST-D 120ML SYP,1`S,Syrups,SHROOQ PHARMA,550,In Stock,
26,001041,CALFAST-D TAB,30`S,Tablets,SHROOQ PHARMA,390,In Stock,
27,001075,CALFO 120ML SYP,120ML,Syrups,SHROOQ PHARMA,360,In Stock,
28,001074,CALFO TAB,50S,Tablets,SHROOQ PHARMA,190,In Stock,
29,001083,CALWIN TAB,,Tablets,SHROOQ PHARMA,330,In Stock,
30,001160,CELAX 120ML SYP,1`S,Syrups,SHROOQ PHARMA,470,In Stock,
31,001111,CITALAX 10MG TAB,30`S,Tablets,SHROOQ PHARMA,220,In Stock,
32,001106,CITALEX ORAL DROP,15ML,Drops,SHROOQ PHARMA,330,In Stock,
33,001035,CIZIDIM 1GM INJ,1`S,Injections,SHROOQ PHARMA,150,In Stock,
34,001033,CIZIDIM 250MG INJ,1`S,Injections,SHROOQ PHARMA,350,In Stock,
35,001034,CIZIDIM 500MG INJ,1`S,Injections,SHROOQ PHARMA,690,In Stock,
36,001112,CONARD 50MG CAP,7S,Capsules,SHROOQ PHARMA,290,In Stock,
37,001019,D-FAST DROPS,1`S,Drops,SHROOQ PHARMA,160,In Stock,
38,001161,DANTRON 25ML SYP,1`S,Syrups,SHROOQ PHARMA,190,In Stock,
39,001021,DANTRON 50ML SYP,1`S,Syrups,SHROOQ PHARMA,230,In Stock,
40,001187,DANTRON 8MG TAB,10`S,Tablets,SHROOQ PHARMA,260,In Stock,
41,001183,DANTRON INJ 5S,5AMP,Injections,SHROOQ PHARMA,280,In Stock,
42,001124,DASTAK 5MG TAB,10S,Tablets,SHROOQ PHARMA,100,In Stock,
